Foundation & Floor Construction,foundation_type,exterior_floor_layer,next_floor_layer_1,next_floor_layer_2,next_floor_layer_3,next_floor_layer_4,next_floor_layer_5,slab_perimeter_ins_name,slab_perimeter_ins_width[ft],slab_thermalbreak_ins_name,slab_thermalbreak_ins_depth[ft],bsmnt_wall_ext_ins_name,bsmnt_wall_ext_ins_depth[ft]
Vented Crawl w Insulated Floor,Vented Crawlspace,Floor_Ins_Custom,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Vented Crawl w Insulated Floor and Crawl Wall,Vented Crawlspace,Floor_Ins_Custom,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,Found_Wall_Custom,2
Slab w No Insulation,Slab,Concrete_5in,!-,!-,!-,!-,!-,$,$,$,$,$,$
Slab w Perimeter Insulation Only,Slab,Concrete_5in,!-,!-,!-,!-,!-,Slab_Perimeter_Custom,2,$,$,$,$
Slab w Thermal Break Only,Slab,Concrete_5in,!-,!-,!-,!-,!-,$,$,Thermal_Break_Custom,0.4167,$,$
Slab w Perimeter and Thermal Break Insulation,Slab,Concrete_5in,!-,!-,!-,!-,!-,Slab_Perimeter_Custom,2,Thermal_Break_Custom,0.4167,$,$
Slab w Full Under Insulation,Slab,Full_UnderSlab_Custom,Concrete_5in,!-,!-,!-,!-,$,$,$,$,$,$
Slab w Full Under Insulation and Thermal Break,Slab,Full_UnderSlab_Custom,Concrete_5in,!-,!-,!-,!-,$,$,Thermal_Break_Custom,0.4167,$,$
Heated Basement w No Insulation,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,$,$
Heated Basement w Wall Insulation,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,Found_Wall_Custom,2.9
Unheated Basement w Insulated Floor,Unheated Basement,Floor_Ins_Custom,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Unheated Basement w Insulated Floor and Wall,Unheated Basement,Floor_Ins_Custom,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,Found_Wall_Custom,2.9
Vented Crawlspace - R0 Cavity Insulation,Vented Crawlspace,Joists_w_No_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Vented Crawlspace - R13 Cavity Insulation,Vented Crawlspace,Joists_w_R13_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Vented Crawlspace - R19 Cavity Insulation,Vented Crawlspace,Joists_w_R19_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Vented Crawlspace - R30 Cavity Insulation,Vented Crawlspace,Joists_w_R30_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Vented Crawlspace - R38 Cavity Insulation,Vented Crawlspace,Joists_w_R38_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Slab - Uninsulated,Slab,Concrete_5in,!-,!-,!-,!-,!-,$,$,$,$,$,$
Slab - R5 Perimeter with No Thermal Break,Slab,Concrete_5in,!-,!-,!-,!-,!-,XPS_R5,2,$,$,$,$
Slab - R10 Perimeter with No Thermal Break,Slab,Concrete_5in,!-,!-,!-,!-,!-,XPS_R10,2,$,$,$,$
Slab - R5 Perimeter with R5 Thermal Break,Slab,Concrete_5in,!-,!-,!-,!-,!-,XPS_R5,2,XPS_R5,0.4167,$,$
Slab - R10 Perimeter with R5 Thermal Break,Slab,Concrete_5in,!-,!-,!-,!-,!-,XPS_R10,2,XPS_R5,0.4167,$,$
Slab - R5 Under Full Slab with R5 Thermal Break,Slab,XPS_R5,Concrete_5in,!-,!-,!-,!-,$,$,XPS_R5,0.4167,$,$
Slab - R10 Under Full Slab with R5 Thermal Break,Slab,XPS_R10,Concrete_5in,!-,!-,!-,!-,$,$,XPS_R5,0.4167,$,$
Heated Basement - Uninsulated,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,$,$
Heated Basement - R5 Exterior Insulation,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,XPS_R5,2.9
Heated Basement - R10 Exterior Insulation,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,XPS_R10,2.9
Heated Basement - R15 Exterior Insulation,Heated Basement,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,!-,$,$,$,$,XPS_R15,2.9
Unheated Basement - Uninsulated,Unheated Basement,Joists_w_No_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Unheated Basement - R13 Cavity Insulation,Unheated Basement,Joists_w_R13_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Unheated Basement - R19 Cavity Insulation,Unheated Basement,Joists_w_R19_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Unheated Basement - R30 Cavity Insulation,Unheated Basement,Joists_w_R30_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
Unheated Basement - R38 Cavity Insulation,Unheated Basement,Joists_w_R38_Insulation,Plywood_3/4in,Carpet_n_pad,!-,!-,!-,$,$,$,$,$,$
