Time,LIVING_UNIT1:SPOKANE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SPOKANE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SPOKANE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SPOKANE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,7.067271E+03,3.094423E+02,2.352522E-01,2.238498E-02
02:00:00,7.067610E+03,3.014397E+01,2.352635E-01,2.180632E-03
03:00:00,7.068849E+03,0.000000E+00,2.353047E-01,0.000000E+00
04:00:00,7.071116E+03,0.000000E+00,2.353802E-01,0.000000E+00
05:00:00,7.074251E+03,0.000000E+00,2.354845E-01,0.000000E+00
06:00:00,7.078003E+03,1.501774E+02,2.356094E-01,1.138019E-02
07:00:00,7.082127E+03,8.771453E+02,2.357467E-01,6.349619E-02
08:00:00,7.086428E+03,1.618142E+03,2.358898E-01,1.170483E-01
09:00:00,7.090764E+03,2.280905E+03,2.360342E-01,1.649760E-01
10:00:00,7.095042E+03,2.825251E+03,2.361766E-01,2.043500E-01
11:00:00,7.099203E+03,3.145621E+03,2.363151E-01,2.275301E-01
12:00:00,7.103218E+03,3.273427E+03,2.364487E-01,2.367828E-01
13:00:00,7.107070E+03,3.574069E+03,2.365770E-01,2.585357E-01
14:00:00,7.110758E+03,4.119267E+03,2.366998E-01,2.979759E-01
15:00:00,7.114285E+03,4.647677E+03,2.368172E-01,3.362001E-01
16:00:00,7.117656E+03,4.934248E+03,2.369294E-01,3.569310E-01
17:00:00,7.120882E+03,4.965122E+03,2.370368E-01,3.591660E-01
18:00:00,7.123971E+03,4.847429E+03,2.371397E-01,3.506537E-01
19:00:00,7.126934E+03,4.366346E+03,2.372383E-01,3.158537E-01
20:00:00,7.129780E+03,2.992823E+03,2.373330E-01,2.164963E-01
21:00:00,7.132517E+03,2.071782E+03,2.374241E-01,1.498711E-01
22:00:00,7.135154E+03,1.496115E+03,2.375119E-01,1.082279E-01
23:00:00,7.137697E+03,1.042661E+03,2.375966E-01,7.542529E-02
24:00:00,7.140155E+03,6.465416E+02,2.376784E-01,4.677037E-02
Peak,7.140155E+03,4.965122E+03,2.376784E-01,3.591660E-01

Peak Vol Flow (m3/s),,,2.165782E-01,3.272805E-01
