Time,LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:TACOMA-JB.LEWIS-MCCHORD-GRAY. ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,8.076862E+02,0.000000E+00,2.689609E-02,0.000000E+00
02:00:00,1.136574E+03,0.000000E+00,3.785002E-02,0.000000E+00
03:00:00,1.361923E+03,0.000000E+00,4.535283E-02,0.000000E+00
04:00:00,1.528529E+03,0.000000E+00,5.089981E-02,0.000000E+00
05:00:00,1.656880E+03,0.000000E+00,5.517336E-02,0.000000E+00
06:00:00,1.760349E+03,0.000000E+00,5.861873E-02,0.000000E+00
07:00:00,1.840176E+03,0.000000E+00,6.127701E-02,0.000000E+00
08:00:00,1.908036E+03,0.000000E+00,6.353690E-02,0.000000E+00
09:00:00,1.969407E+03,0.000000E+00,6.558075E-02,0.000000E+00
10:00:00,2.024924E+03,0.000000E+00,6.742968E-02,0.000000E+00
11:00:00,2.075095E+03,0.000000E+00,6.910055E-02,0.000000E+00
12:00:00,2.120517E+03,0.000000E+00,7.061325E-02,0.000000E+00
13:00:00,2.161729E+03,9.315493E+01,7.198574E-02,6.812530E-03
14:00:00,2.199451E+03,3.202837E+02,7.324196E-02,2.317353E-02
15:00:00,2.234138E+03,5.401744E+02,7.439710E-02,3.908123E-02
16:00:00,2.266151E+03,6.353456E+02,7.546323E-02,4.596746E-02
17:00:00,2.295805E+03,6.444686E+02,7.645072E-02,4.662734E-02
18:00:00,2.323360E+03,6.061352E+02,7.736833E-02,4.385334E-02
19:00:00,2.349034E+03,4.699154E+02,7.822331E-02,3.399752E-02
20:00:00,2.372973E+03,1.239237E+02,7.902047E-02,8.965513E-03
21:00:00,2.395421E+03,0.000000E+00,7.976799E-02,0.000000E+00
22:00:00,2.416590E+03,0.000000E+00,8.047291E-02,0.000000E+00
23:00:00,2.436583E+03,0.000000E+00,8.113871E-02,0.000000E+00
24:00:00,2.455505E+03,0.000000E+00,8.176881E-02,0.000000E+00
Peak,2.455505E+03,6.444686E+02,8.176881E-02,4.662734E-02

Peak Vol Flow (m3/s),,,6.860154E-02,3.911892E-02
