Time,CENTRAL SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.689609E-02,7.959215E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,3.785002E-02,1.120019E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,4.535283E-02,1.342086E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,5.089981E-02,1.506265E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,5.517336E-02,1.632746E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,5.861873E-02,1.734708E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,6.127701E-02,1.813372E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,6.353690E-02,1.880243E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,6.558075E-02,1.940721E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,6.742968E-02,1.995429E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:00:00,6.910055E-02,2.044869E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12:00:00,7.061325E-02,2.089630E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13:00:00,7.198574E-02,2.130242E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.812530E-03,9.179804E+01,1.083879E+02
14:00:00,7.324196E-02,2.167414E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.317353E-02,3.156184E+02,3.707612E+02
15:00:00,7.439710E-02,2.201596E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.908123E-02,5.323063E+02,6.165501E+02
16:00:00,7.546323E-02,2.233143E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.596746E-02,6.260912E+02,7.108821E+02
17:00:00,7.645072E-02,2.262364E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.662734E-02,6.350813E+02,7.082465E+02
18:00:00,7.736833E-02,2.289518E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.385334E-02,5.973063E+02,6.572473E+02
19:00:00,7.822331E-02,2.314818E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.399752E-02,4.630707E+02,5.050393E+02
20:00:00,7.902047E-02,2.338408E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.965513E-03,1.221186E+02,1.327255E+02
21:00:00,7.976799E-02,2.360530E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:00:00,8.047291E-02,2.381390E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,8.113871E-02,2.401092E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,8.176881E-02,2.419738E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
Coinc Peak   ,8.176881E-02,4.662734E-02,2.419738E+03,6.350813E+02
NonCoinc Peak,8.176881E-02,4.662734E-02,2.419738E+03,6.350813E+02
