EnergyPlus object,name,surface type,construction name,zone name,outside boundary condition,outside boundary condition object,sun exposure,wind exposure,view factor to ground,number of vertices,vertex 1 coordinates,vertex 2 coordinates,vertex 3 coordinates,vertex 4 coordinates
BuildingSurface:Detailed,roof_front,Roof,roof construction,attic,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{origin_x},{origin_y},{top_flr_ht_AG}","{building_width},{origin_y},{top_flr_ht_AG}","{building_width},{roof_ridge_depth},{roof_ht_AG}","{origin_x},{roof_ridge_depth},{roof_ht_AG}"
BuildingSurface:Detailed,roof_back,Roof,roof construction,attic,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{building_width},{building_depth},{top_flr_ht_AG}","{origin_x},{building_depth},{top_flr_ht_AG}","{origin_x},{roof_ridge_depth},{roof_ht_AG}","{building_width},{roof_ridge_depth},{roof_ht_AG}"
BuildingSurface:Detailed,roof_right,Wall,gable construction,attic,Outdoors,,SunExposed,WindExposed,autocalculate,3,"{building_width},{origin_y},{top_flr_ht_AG}","{building_width},{building_depth},{top_flr_ht_AG}","{building_width},{roof_ridge_depth},{roof_ht_AG}",
BuildingSurface:Detailed,roof_left,Wall,gable construction,attic,Outdoors,,SunExposed,WindExposed,autocalculate,3,"{origin_x},{building_depth},{top_flr_ht_AG}","{origin_x},{origin_y},{top_flr_ht_AG}","{origin_x},{roof_ridge_depth},{roof_ht_AG}",
BuildingSurface:Detailed,ceiling,Ceiling,ceiling construction,living,Zone,attic,NoSun,NoWind,autocalculate,4,"{origin_x},{origin_y},{top_flr_ht_AG}","{building_width},{origin_y},{top_flr_ht_AG}","{building_width},{building_depth},{top_flr_ht_AG}","{origin_x},{building_depth},{top_flr_ht_AG}"
BuildingSurface:Detailed,wall_floor1_front,Wall,ag wall construction,living,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{origin_x},{origin_y},{foundationwall_ht_AG}","{building_width},{origin_y},{foundationwall_ht_AG}","{building_width},{origin_y},{first_flr_ht_AG}","{origin_x},{origin_y},{first_flr_ht_AG}"
BuildingSurface:Detailed,wall_floor1_right,Wall,ag wall construction,living,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{building_width},{origin_y},{foundationwall_ht_AG}","{building_width},{building_depth},{foundationwall_ht_AG}","{building_width},{building_depth},{first_flr_ht_AG}","{building_width},{origin_y},{first_flr_ht_AG}"
BuildingSurface:Detailed,wall_floor1_back,Wall,ag wall construction,living,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{building_width},{building_depth},{foundationwall_ht_AG}","{origin_x},{building_depth},{foundationwall_ht_AG}","{origin_x},{building_depth},{first_flr_ht_AG}","{building_width},{building_depth},{first_flr_ht_AG}"
BuildingSurface:Detailed,wall_floor1_left,Wall,ag wall construction,living,Outdoors,,SunExposed,WindExposed,autocalculate,4,"{origin_x},{building_depth},{foundationwall_ht_AG}","{origin_x},{origin_y},{foundationwall_ht_AG}","{origin_x},{origin_y},{first_flr_ht_AG}","{origin_x},{building_depth},{first_flr_ht_AG}"
BuildingSurface:Detailed,floor_main,Floor,main floor construction,living,{floor_main outside boundary condition},{floor_main outside boundary condition object},NoSun,NoWind,autocalculate,4,"{origin_x},{origin_y},{foundationwall_ht_AG}","{origin_x},{building_depth},{foundationwall_ht_AG}","{building_width},{building_depth},{foundationwall_ht_AG}","{building_width},{origin_y},{foundationwall_ht_AG}"
